clk, area,,Latency=100
3,233845.706791,701537.120373,70153712.0373
3.1,225867.926849,700190.5732319,70019057.32319
3.2,222832.975542,713065.5217344,71306552.17344
3.3,217187.423258,716718.4967514,71671849.67514
3.4,210557.378885,715895.088209,71589508.8209
3.5,206480.224332,722680.785162,72268078.5162
3.6,202956.421957,730643.1190452,73064311.90452
3.7,199559.924658,738371.7212346,73837172.12346
3.8,195832.434153,744163.2497814,74416324.97814
3.9,193809.133513,755855.6207007,75585562.07007
4,190864.14453,763456.57812,76345657.812
4.1,190125.775541,779515.6797181,77951567.97181
4.2,187131.562148,785952.5610216,78595256.10216
4.3,185463.017891,797490.9769313,79749097.69313
4.4,184291.811874,810883.9722456,81088397.22456
4.5,182886.364683,822988.6410735,82298864.10735
4.6,179332.009228,824927.2424488,82492724.24488
4.7,178325.450948,838129.6194556,83812961.94556
4.8,176434.5474,846885.82752,84688582.752
4.9,175950.788416,862158.8632384,86215886.32384
5,174740.542195,873702.710975,87370271.0975
5.1,174205.861307,888449.8926657,88844989.26657
5.2,172423.591286,896602.6746872,89660267.46872
5.3,171731.052118,910174.5762254,91017457.62254
5.4,171754.815728,927476.0049312,92747600.49312
5.5,170778.810861,939283.4597355,93928345.97355
5.6,170057.416032,952321.5297792,95232152.97792
5.7,169327.534063,965166.9441591,96516694.41591
5.8,168283.6331,976045.07198,97604507.198
5.9,167053.018414,985612.8086426,98561280.86426
6,166124.540647,996747.243882,99674724.3882
6.1,165221.52388,1007851.295668,100785129.5668
6.2,164401.679709,1019290.4141958,101929041.41958
6.3,164213.268317,1034543.5903971,103454359.03971
6.4,163690.469198,1047619.0028672,104761900.28672
6.5,162785.755065,1058107.4079225,105810740.79225
6.6,160699.65089,1060617.695874,106061769.5874
6.7,160305.854143,1074049.2227581,107404922.27581
6.8,159986.742627,1087909.8498636,108790984.98636
6.9,159859.43762,1103030.119578,110303011.9578
7,159630.288657,1117412.020599,111741202.0599
7.1,159487.707064,1132362.7201544,113236272.01544
7.2,159479.220093,1148250.3846696,114825038.46696
7.3,159265.347703,1162637.0382319,116263703.82319
7.4,159292.506115,1178764.545251,117876454.5251
7.5,159041.290928,1192809.68196,119280968.196
7.6,159027.711734,1208610.6091784,120861060.91784
7.7,158986.974116,1224199.7006932,122419970.06932
7.8,158973.394948,1239992.4805944,123999248.05944
7.9,158812.141966,1254615.9215314,125461592.15314
8,158713.692786,1269709.542288,126970954.2288
8.1,158705.205801,1285512.1669881,128551216.69881
8.2,158610.151411,1300603.2415702,130060324.15702
8.3,158574.506011,1316168.3998913,131616839.98913
8.4,158510.004831,1331484.0405804,133148404.05804
8.5,158338.567417,1345877.8230445,134587782.30445
8.6,158411.555626,1362339.3783836,136233937.83836
8.7,158377.607627,1377885.1863549,137788518.63549
8.8,158279.158431,1392856.5941928,139285659.41928
8.9,158253.697427,1408457.9071003,140845790.71003
9,158258.789647,1424329.106823,142432910.6823
9.1,158228.236452,1439876.9517132,143987695.17132
9.2,158199.380651,1455434.3019892,145543430.19892
9.3,158245.210444,1471680.4571292,147168045.71292
9.4,158165.432662,1486755.0670228,148675506.70228
9.5,158179.011863,1502700.6126985,150270061.26985
9.6,158165.432662,1518388.1535552,151838815.35552
9.7,158177.314467,1534319.9503299,153431995.03299
9.8,158148.458659,1549854.8948582,154985489.48582
9.9,158257.092197,1566745.2127503,156674521.27503
10,158097.536435,1580975.36435,158097536.435
