clk, area,,Latency=113
2,283718.714495,567437.42899,64120429.47587
2.1,262365.422876,550967.3880396,62259314.8484748
2.2,253190.97581,557020.146782,62943276.586366
2.3,242638.2401,558067.95223,63061678.60199
2.4,233784.601567,561083.0437608,63402383.9449704
2.5,231241.896283,578104.7407075,65325835.6999475
2.6,224499.823606,583699.5413756,65958048.1754428
2.7,222058.962556,599559.1989012,67750189.4758356
2.8,218029.334879,610482.1376612,68984481.5557156
2.9,208304.930331,604084.2979599,68261525.6694687
3,207777.038906,623331.116718,70436416.189134
3.1,204563.860778,634147.9684118,71658720.4305334
3.2,202572.810645,648232.994064,73250328.329232
3.3,201094.375196,663611.4381468,74988092.5105884
3.4,198920.005895,676328.020043,76425066.264859
3.5,197794.629788,692281.204258,78227776.081154
3.6,197236.185309,710050.2671124,80235680.1837012
3.7,195565.943722,723593.9917714,81766121.0701682
3.8,191420.893391,727399.3948858,82196131.6220954
3.9,191149.309492,745482.3070188,84239500.6931244
4,190825.106139,763300.424556,86252947.974828
4.1,190168.212334,779689.6705694,88104932.7743422
4.2,189633.531411,796460.8319262,90000074.0076606
4.3,189343.275995,814176.0867785,92001897.8059705
4.4,188859.517017,830981.8748748,93900951.8608524
4.5,188496.273425,848233.2304125,95850355.0366125
4.6,188267.124441,866028.7724286,97861251.2844318
4.7,188414.798316,885549.5520852,100067099.385628
4.8,188776.344489,906126.4535472,102392289.250834
4.9,187632.296898,919398.2548002,103892002.792423
,,,0
